LAKE,Date,Date2,Replicate,LIGHT_O2_ppm,DARK_O2_ppm,LIGHT_Pois_O2_ppm,DARK_Pois_O2_ppm,NetOxy_ppm,RespOxy_ppm,Net_mgC_m3_h,Resp_mgC_m3_H,LightAzidemgCm3h,DarkAzidemgCm3h
K,15-Jun-07,2007-06-15,2,9.45,7.82,8.21,8.25,1.59,-0.04,20.09,-0.51,4.42,4.93
K,15-Jun-07,2007-06-15,3,9.47,7.9,8.15,8.17,1.61,0.04,20.34,0.51,3.66,3.92
K,29-Jun-07,2007-06-29,1,7.58,7.39,7.18,7.4,0.14,-0.05,1.79,-0.64,-3.33,-0.51
K,29-Jun-07,2007-06-29,2,7.57,7.28,7.2,7.19,0.13,-0.16,1.66,-2.05,-3.07,-3.20
K,29-Jun-07,2007-06-29,3,7.5,7.21,7.18,7.35,0.06,-0.23,0.77,-2.94,-3.33,-1.15
K,13-Jul-07,2007-07-13,1,3.68,2.75,3.26,2.73,-3.13,-4.06,-41.93,-54.39,-47.56,-54.66
K,13-Jul-07,2007-07-13,2,3.46,2.67,3.01,2.7,-3.35,-4.14,-44.88,-55.47,-50.91,-55.06
K,13-Jul-07,2007-07-13,3,3.43,2.87,2.83,2.78,-3.38,-3.94,-45.28,-52.79,-53.32,-53.99
K,27-Jul-07,2007-07-27,1,8.03,7.39,8.07,7.5,1.48,0.84,17.76,10.08,18.24,11.40
K,27-Jul-07,2007-07-27,2,7.95,7.43,8,7.39,1.40,0.88,16.80,10.56,17.40,10.08
K,27-Jul-07,2007-07-27,3,8.05,7.31,7.99,7.4,1.50,0.76,18.00,9.12,17.28,10.20
K,10-Aug-07,2007-08-10,1,10.21,7.72,5.63,5.6,3.02,0.53,34.80,6.11,-17.97,-18.32
K,10-Aug-07,2007-08-10,2,10.42,6.52,6.99,5.62,3.23,-0.67,37.22,-7.72,-2.30,-18.09
K,10-Aug-07,2007-08-10,3,10.52,7.23,6.92,5.53,3.33,0.04,38.37,0.46,-3.11,-19.13
K,23-Aug-07,2007-08-23,1,9.3,6.65,6.81,6.21,1.40,-1.25,25.20,-22.50,-19.62,-30.42
K,23-Aug-07,2007-08-23,2,9.13,6.87,6.77,5.76,1.23,-1.03,22.14,-18.54,-20.34,-38.53
K,23-Aug-07,2007-08-23,3,9.14,6.14,6.75,5.9,1.24,-1.76,22.32,-31.68,-20.70,-36.01
K,24-Sep-07,2007-09-24,1,9.65,8.34,8.38,8.77,1.60,0.29,21.44,3.89,4.42,9.65
K,24-Sep-07,2007-09-24,2,8.74,9.32,8.92,8.35,0.69,1.27,9.24,17.01,11.66,4.02
K,24-Sep-07,2007-09-24,3,9.19,8.89,8.77,8.14,1.14,0.84,15.27,11.25,9.65,1.21
K,10-Oct-07,2007-10-10,1,8.31,9.26,7.52,8.29,-0.73,0.22,-8.58,2.59,-17.87,-8.82
K,10-Oct-07,2007-10-10,2,9.21,9.04,7.87,8.36,0.17,0.00,2.00,0.00,-13.76,-7.99
K,10-Oct-07,2007-10-10,3,9.16,9,7.87,8.15,0.12,-0.04,1.41,-0.47,-13.76,-10.46
K,22-Oct-07,2007-10-22,1,10.4,9.48,9.91,8.67,0.10,-0.82,1.20,-9.84,-4.68,-19.56
K,22-Oct-07,2007-10-22,2,10.23,9.86,9.95,9.15,-0.07,-0.44,-0.84,-5.28,-4.20,-13.80
K,22-Oct-07,2007-10-22,3,10.1,9.87,9.89,9.03,-0.20,-0.43,-2.40,-5.16,-4.92,-15.24
K,07-Nov-07,2007-11-07,1,10.84,9.63,9.68,9.82,0.64,-0.57,7.68,-6.84,-6.24,-4.56
K,07-Nov-07,2007-11-07,2,10.92,9.74,9.77,9.7,0.72,-0.46,8.64,-5.52,-5.16,-6.00
K,07-Nov-07,2007-11-07,3,10.29,9.49,9.77,9.73,0.09,-0.71,1.08,-8.52,-5.16,-5.64
K,09-May-08,2008-05-09,1,8.52,7.73,7.36,8.05,1.47,0.68,17.57,8.13,3.71,11.95
K,09-May-08,2008-05-09,2,8.55,7.69,7.56,7.59,1.50,0.64,17.93,7.65,6.10,6.45
K,09-May-08,2008-05-09,3,8.65,7.7,7.85,7.52,1.60,0.65,19.12,7.77,9.56,5.62
K,23-May-08,2008-05-23,1,9.2,7.61,7.73,7.23,-0.16,-1.75,-1.84,-20.16,-18.78,-24.54
K,23-May-08,2008-05-23,2,9.32,7.82,7.75,7.56,-0.04,-1.54,-0.46,-17.74,-18.55,-20.74
K,23-May-08,2008-05-23,3,9.25,7.59,7.71,7.39,-0.11,-1.77,-1.27,-20.39,-19.01,-22.70
K,06-Jun-08,2008-06-06,1,8.7,8.46,8.23,8.29,-0.60,-0.84,-7.20,-10.08,-12.84,-12.12
K,06-Jun-08,2008-06-06,2,8.72,8.29,8.8,8.3,-0.58,-1.01,-6.96,-12.12,-6.00,-12.00
K,06-Jun-08,2008-06-06,3,8.63,8.33,9.08,8.46,-0.67,-0.97,-8.04,-11.64,-2.64,-10.08
K,20-Jun-08,2008-06-20,1,10.54,7.06,8.47,7.72,-0.37,-3.85,-4.39,-45.64,-28.92,-37.81
K,20-Jun-08,2008-06-20,2,10.84,7.29,8.09,7.5,-0.07,-3.62,-0.83,-42.91,-33.43,-40.42
K,20-Jun-08,2008-06-20,3,11.24,7.35,8.51,7.45,0.33,-3.56,3.91,-42.20,-28.45,-41.01
K,05-Jul-08,2008-07-05,1,11.69,8.85,9.8,9.58,1.97,-0.87,23.16,-10.23,0.94,-1.65
K,05-Jul-08,2008-07-05,2,11.8,8.94,9.51,9.2,2.08,-0.78,24.45,-9.17,-2.47,-6.11
K,05-Jul-08,2008-07-05,3,12.4,8.68,9.88,9.37,2.68,-1.04,31.51,-12.23,1.88,-4.11
K,18-Jul-08,2008-07-18,1,9.43,8.51,10.27,10.28,2.70,1.78,32.27,21.27,42.31,42.43
K,18-Jul-08,2008-07-18,2,9.64,8.46,10.65,10.16,2.91,1.73,34.78,20.68,46.85,41.00
K,18-Jul-08,2008-07-18,3,10.28,9.61,10.23,9.68,3.55,2.88,42.43,34.42,41.83,35.26
K,01-Aug-08,2008-08-01,1,5.44,5.43,5.49,5.91,-0.41,-0.42,-5.37,-5.50,-4.71,0.79
K,01-Aug-08,2008-08-01,2,4.65,5.15,5.58,6.09,-1.20,-0.70,-15.71,-9.17,-3.54,3.14
K,01-Aug-08,2008-08-01,3,5.35,5,6.11,5.02,-0.50,-0.85,-6.55,-11.13,3.40,-10.87
k,15-Aug-08,2008-08-15,1,11.54,7.75,9.66,8.69,5.24,1.45,62.89,17.40,40.33,28.68
k,15-Aug-08,2008-08-15,2,12.26,7.93,9.58,8.74,5.96,1.63,71.53,19.56,39.37,29.28
k,15-Aug-08,2008-08-15,3,12.31,7.85,9.69,8.64,6.01,1.55,72.13,18.60,40.69,28.08
K,29-Aug-08,2008-08-29,1,4.94,4.67,5.92,4.88,-2.02,-2.29,-24.24,-27.48,-12.48,-24.96
K,29-Aug-08,2008-08-29,2,5.35,3.83,5.08,4.85,-1.61,-3.13,-19.32,-37.57,-22.56,-25.32
K,29-Aug-08,2008-08-29,3,4.57,5.56,5.46,5.6,-2.39,-1.40,-28.68,-16.80,-18.00,-16.32
K,17-Sep-08,2008-09-17,1,6.35,5.65,6.58,6.64,-0.30,-1.00,-3.93,-13.09,-0.92,-0.13
K,17-Sep-08,2008-09-17,2,6.58,6.05,7.07,6.52,-0.07,-0.60,-0.92,-7.86,5.50,-1.70
K,17-Sep-08,2008-09-17,3,6.68,5.79,6.89,6.02,0.03,-0.86,0.39,-11.26,3.14,-8.25
K,31-Oct-08,2008-10-31,1,10.12,8.61,7.26,7.71,-0.85,-2.36,-10.65,-29.56,-46.46,-40.83
K,31-Oct-08,2008-10-31,2,8.97,8.68,8.64,7.52,-2.00,-2.29,-25.05,-28.68,-29.18,-43.21
K,31-Oct-08,2008-10-31,3,8.9,8.32,7.53,8.78,-2.07,-2.65,-25.92,-33.19,-43.08,-27.43
K,08-May-09,2009-05-08,1,19.79,13.15,15.09,13.63,9.41,2.77,117.08,34.47,58.60,40.44
K,08-May-09,2009-05-08,2,17.13,13.87,15.39,13.9,6.75,3.49,83.99,43.42,62.34,43.80
K,08-May-09,2009-05-08,3,18.9,13.86,15.32,14.87,8.52,3.48,106.01,43.30,61.47,55.87
K,22-May-09,2009-05-22,1,10.97,9.25,9.46,8.27,0.65,-1.07,7.80,-12.84,-10.32,-24.60
K,22-May-09,2009-05-22,2,10.02,9.38,9.63,8.68,-0.30,-0.94,-3.60,-11.28,-8.28,-19.68
K,22-May-09,2009-05-22,3,11.4,9.47,9.92,8.77,1.08,-0.85,12.96,-10.20,-4.80,-18.60
K,05-Jun-09,2009-06-05,1,8.69,6.73,8.86,8.89,-0.61,-2.57,-7.23,-30.46,-5.22,-4.86
K,05-Jun-09,2009-06-05,2,8.28,6.28,9.04,8.49,-1.02,-3.02,-12.09,-35.80,-3.08,-9.60
K,05-Jun-09,2009-06-05,3,8.34,6.78,8.94,8.52,-0.96,-2.52,-11.38,-29.87,-4.27,-9.25
K,19-Jun-09,2009-06-19,1,10.33,7.11,7.62,6.05,3.77,0.55,44.97,6.56,12.64,-6.08
K,19-Jun-09,2009-06-19,2,10.91,6.89,7.21,6.74,4.35,0.33,51.88,3.94,7.75,2.15
K,19-Jun-09,2009-06-19,3,10.75,6.79,7.14,6.77,4.19,0.23,49.98,2.74,6.92,2.50
K,03-Jul-09,2009-07-03,1,9.27,6.84,6.9,6.94,1.66,-0.77,20.01,-9.28,-8.56,-8.07
K,03-Jul-09,2009-07-03,2,9.02,6.47,7.48,6.88,1.41,-1.14,16.99,-13.74,-1.57,-8.80
K,03-Jul-09,2009-07-03,3,9.28,6.72,7.11,7.04,1.67,-0.89,20.13,-10.73,-6.03,-6.87
K,17-Jul-09,2009-07-17,1,8.47,7.21,7.61,7.2,0.57,-0.69,7.09,-8.59,-3.61,-8.71
K,17-Jul-09,2009-07-17,2,8.55,7.48,7.57,7.18,0.65,-0.42,8.09,-5.23,-4.11,-8.96
K,17-Jul-09,2009-07-17,3,8.56,7.04,7.63,7.07,0.66,-0.86,8.21,-10.70,-3.36,-10.33
K,31-Jul-09,2009-07-31,1,7.24,6.44,6.9,6.79,-0.56,-1.36,-6.58,-15.99,-10.58,-11.87
K,31-Jul-09,2009-07-31,2,7.25,6.49,7.05,6.92,-0.55,-1.31,-6.47,-15.40,-8.82,-10.35
K,31-Jul-09,2009-07-31,3,7.41,6.54,7.03,6.91,-0.39,-1.26,-4.59,-14.81,-9.05,-10.46
K,14-Aug-09,2009-08-14,1,6.54,6.14,6.67,6.48,-1.18,-1.58,-14.02,-18.77,-12.47,-14.73
K,14-Aug-09,2009-08-14,2,6.55,6.24,6.7,6.55,-1.17,-1.48,-13.90,-17.58,-12.12,-13.90
K,14-Aug-09,2009-08-14,3,6.51,6.27,6.75,6.54,-1.21,-1.45,-14.37,-17.22,-11.52,-14.02
K,28-Aug-09,2009-08-28,1,6.12,5.64,7.46,7.52,-1.18,-1.66,-14.78,-20.79,2.00,2.76
K,28-Aug-09,2009-08-28,2,6.48,5.88,7.48,7.55,-0.82,-1.42,-10.27,-17.78,2.25,3.13
K,28-Aug-09,2009-08-28,3,6.35,5.73,7.42,7.6,-0.95,-1.57,-11.90,-19.66,1.50,3.76
K,07-May-10,2010-05-07,1,11.15,9.91,10.1,10.04,-0.29,-1.53,-3.34,-17.63,-15.44,-16.13
K,07-May-10,2010-05-07,2,11.19,10.35,10.14,10.2,-0.25,-1.09,-2.88,-12.56,-14.98,-14.29
K,07-May-10,2010-05-07,3,10.9,10.29,10.27,10.03,-0.54,-1.15,-6.22,-13.25,-13.48,-16.25
K,21-May-10,2010-05-21,1,12.43,10.48,10.62,9.64,2.63,0.68,31.56,8.16,9.84,-1.92
K,21-May-10,2010-05-21,2,12.55,10.32,10.91,10.2,2.75,0.52,33.00,6.24,13.32,4.80
K,21-May-10,2010-05-21,3,12.23,9.45,10.42,10.15,2.43,-0.35,29.16,-4.20,7.44,4.20
K,04-Jun-10,2010-06-04,1,11.69,9.53,9.74,9.19,2.82,0.66,32.49,7.60,10.02,3.69
K,04-Jun-10,2010-06-04,2,11.45,9.58,9.83,9.2,2.58,0.71,29.73,8.18,11.06,3.80
K,04-Jun-10,2010-06-04,3,11.7,9.57,9.81,9.3,2.83,0.70,32.61,8.07,10.83,4.95
K,18-Jun-10,2010-06-18,1,7.3,7.89,7.48,7.11,-0.23,0.36,-2.76,4.32,-0.60,-5.04
K,18-Jun-10,2010-06-18,2,7.36,7.77,7.86,7.59,-0.17,0.24,-2.04,2.88,3.96,0.72
K,18-Jun-10,2010-06-18,3,7.57,7.55,7.56,7.87,0.04,0.02,0.48,0.24,0.36,4.08
K,02-Jul-10,2010-07-02,1,8.6,7.65,7.9,7.85,0.86,-0.09,9.53,-1.00,1.77,1.22
K,02-Jul-10,2010-07-02,2,8.62,7.66,8.07,7.93,0.88,-0.08,9.75,-0.89,3.66,2.10
K,02-Jul-10,2010-07-02,3,8.45,7.74,8.07,7.88,0.71,0.00,7.87,0.00,3.66,1.55
K,16-Jul-10,2010-07-16,1,8.15,6.98,6.74,7.34,2.07,0.90,23.85,10.37,7.60,14.52
K,16-Jul-10,2010-07-16,2,8.22,7.16,6.9,7.2,2.14,1.08,24.66,12.44,9.45,12.90
K,16-Jul-10,2010-07-16,3,8.16,7.07,6.96,7.26,2.08,0.99,23.97,11.41,10.14,13.60
K,30-Jul-10,2010-07-30,1,7.66,6.99,6.19,6.48,2.22,1.55,26.64,18.60,9.00,12.48
K,30-Jul-10,2010-07-30,2,8.19,6.67,6.3,6.38,2.75,1.23,33.00,14.76,10.32,11.28
K,30-Jul-10,2010-07-30,3,7.96,6.23,6.15,6.3,2.52,0.79,30.24,9.48,8.52,10.32
K,13-Aug-10,2010-08-13,1,7.18,6.56,7.45,6.52,0.03,-0.59,0.36,-7.08,3.60,-7.56
K,13-Aug-10,2010-08-13,2,7.98,6.41,7.58,6.48,0.83,-0.74,9.96,-8.88,5.16,-8.04
K,13-Aug-10,2010-08-13,3,7.47,6.54,7.33,6.69,0.32,-0.61,3.84,-7.32,2.16,-5.52
K,27-Aug-10,2010-08-27,1,5.13,5.53,5.96,5.31,0.01,0.41,0.12,4.92,10.08,2.28
K,27-Aug-10,2010-08-27,2,5.07,4.69,5.65,5.86,-0.05,-0.43,-0.60,-5.16,6.36,8.88
K,27-Aug-10,2010-08-27,3,5.25,4.89,5.89,5.8,0.13,-0.23,1.56,-2.76,9.24,8.16
K,20-May-11,2011-05-20,1,11.36,9.03,8.89,8.71,2.06,-0.27,24.72,-3.24,-4.92,-7.08
K,20-May-11,2011-05-20,2,11.28,9.11,9.02,8.89,1.98,-0.19,23.76,-2.28,-3.36,-4.92
K,20-May-11,2011-05-20,3,11.34,8.98,9.04,8.86,2.04,-0.32,24.48,-3.84,-3.12,-5.28
K,03-Jun-11,2011-06-03,1,13.71,9.22,9.59,9.17,4.33,-0.16,51.97,-1.92,2.52,-2.52
K,03-Jun-11,2011-06-03,2,13.78,9.12,9.55,8.87,4.40,-0.26,52.81,-3.12,2.04,-6.12
K,03-Jun-11,2011-06-03,3,12.83,9.47,9.43,9.09,3.45,0.09,41.41,1.08,0.60,-3.48
K,17-Jun-11,2011-06-17,1,10.11,8.53,8.52,8.24,1.36,-0.22,16.67,-2.70,-2.82,-6.25
K,17-Jun-11,2011-06-17,2,10.16,8.41,8.5,8.25,1.41,-0.34,17.28,-4.17,-3.06,-6.13
K,17-Jun-11,2011-06-17,3,10.21,8.51,8.55,8.33,1.46,-0.24,17.90,-2.94,-2.45,-5.15
K,30-Jun-11,2011-06-30,1,7.6,7.32,7.51,7.22,0.14,-0.14,1.68,-1.68,0.60,-2.88
K,30-Jun-11,2011-06-30,2,7.49,7.36,7.39,7.56,0.03,-0.10,0.36,-1.20,-0.84,1.20
K,30-Jun-11,2011-06-30,3,7.57,7.32,7.46,7.55,0.11,-0.14,1.32,-1.68,0.00,1.08
K,15-Jul-11,2011-07-15,1,12.05,8.16,8.45,8.23,3.74,-0.15,45.84,-1.84,1.72,-0.98
K,15-Jul-11,2011-07-15,2,11.92,7.92,8.38,8.17,3.61,-0.39,44.25,-4.78,0.86,-1.72
K,15-Jul-11,2011-07-15,3,11.88,7.94,8.35,8.14,3.57,-0.37,43.76,-4.54,0.49,-2.08
K,29-Jul-11,2011-07-29,1,7.19,6.62,7.2,6.81,0.01,-0.56,0.12,-6.72,0.24,-4.44
K,29-Jul-11,2011-07-29,2,7.42,6.73,7.07,6.84,0.24,-0.45,2.88,-5.40,-1.32,-4.08
K,29-Jul-11,2011-07-29,3,7.36,6.97,7.04,6.79,0.18,-0.21,2.16,-2.52,-1.68,-4.68
K,12-Aug-11,2011-08-12,1,10.01,7.85,8.56,8.07,2.89,0.73,32.02,8.09,15.95,10.52
K,12-Aug-11,2011-08-12,2,9.81,8.05,8.92,8.31,2.69,0.93,29.80,10.30,19.94,13.18
K,12-Aug-11,2011-08-12,3,9.8,7.96,8.89,8.17,2.68,0.84,29.69,9.31,19.61,11.63
K,26-Aug-11,2011-08-26,1,6.48,5.48,6.57,6.34,-0.53,-1.53,-6.36,-18.36,-5.28,-8.04
K,26-Aug-11,2011-08-26,2,6.52,5.55,6.68,6.43,-0.49,-1.46,-5.88,-17.52,-3.96,-6.96
K,26-Aug-11,2011-08-26,3,6.61,5.5,6.67,6.42,-0.40,-1.51,-4.80,-18.12,-4.08,-7.08
K,04-May-12,2012-05-04,1,12.03,11.52,11.39,11.49,0.73,0.22,8.95,2.70,1.10,2.33
K,04-May-12,2012-05-04,2,12.07,11.16,11.17,11.72,0.77,-0.14,9.44,-1.72,-1.59,5.15
K,04-May-12,2012-05-04,3,12.15,11.69,11.45,11.44,0.85,0.39,10.42,4.78,1.84,1.72
K,04-May-12,2012-05-04,4,,,,,,,,,,
K,18-May-12,2012-05-18,1,12.57,10.15,9.92,9.7,2.52,0.10,29.03,1.15,-1.50,-4.03
K,18-May-12,2012-05-18,2,12.81,10.01,9.98,9.88,2.76,-0.04,31.80,-0.46,-0.81,-1.96
K,18-May-12,2012-05-18,3,12.84,10.07,9.84,9.78,2.79,0.02,32.15,0.23,-2.42,-3.11
K,01-Jun-12,2012-06-01,1,14.1,9.84,9.6,9.4,5.28,1.02,69.13,13.35,10.21,7.59
K,01-Jun-12,2012-06-01,2,13.95,9.96,9.64,9.42,5.13,1.14,67.17,14.93,10.74,7.86
K,01-Jun-12,2012-06-01,3,14.23,9.83,9.91,9.4,5.41,1.01,70.83,13.22,14.27,7.59
K,15-Jun-12,2012-06-15,1,8.61,8.08,8.27,8.07,-0.11,-0.64,-1.20,-6.96,-4.89,-7.07
K,15-Jun-12,2012-06-15,2,8.64,8.05,8.2,8.12,-0.08,-0.67,-0.87,-7.28,-5.65,-6.52
K,15-Jun-12,2012-06-15,3,8.57,8.06,8.21,8.18,-0.15,-0.66,-1.63,-7.17,-5.54,-5.87
K,29-Jun-12,2012-06-29,1,8.63,7.33,7.48,7.25,1.27,-0.03,15.57,-0.37,1.47,-1.35
K,29-Jun-12,2012-06-29,2,8.65,7.26,7.41,7.34,1.29,-0.10,15.81,-1.23,0.61,-0.25
K,29-Jun-12,2012-06-29,3,8.58,7.38,7.47,7.36,1.22,0.02,14.95,0.25,1.35,0.00
K,13-Jul-12,2012-07-13,1,7.25,6.56,6.47,6.6,0.27,-0.42,3.38,-5.26,-6.39,-4.76
K,13-Jul-12,2012-07-13,2,7.52,6.25,6.63,6.46,0.54,-0.73,6.76,-9.14,-4.38,-6.51
K,13-Jul-12,2012-07-13,3,7.2,6.33,6.53,6.58,0.22,-0.65,2.76,-8.14,-5.64,-5.01
K,27-Jul-12,2012-07-27,1,6.95,5.93,6.7,6.35,0.22,-0.80,2.76,-10.02,-0.38,-4.76
K,27-Jul-12,2012-07-27,2,7.54,6.19,6.82,6.41,0.81,-0.54,10.14,-6.76,1.13,-4.01
K,27-Jul-12,2012-07-27,3,7.49,6.13,6.89,6.34,0.76,-0.60,9.52,-7.51,2.00,-4.88
K,10-Aug-12,2012-08-10,1,5.02,4.86,5.33,5.24,-1.46,-1.62,-18.69,-20.74,-14.72,-15.87
K,10-Aug-12,2012-08-10,2,4.99,4.77,5.32,5.31,-1.49,-1.71,-19.07,-21.89,-14.85,-14.98
K,10-Aug-12,2012-08-10,3,4.96,4.87,5.54,5.71,-1.52,-1.61,-19.46,-20.61,-12.03,-9.86
K,17-May-13,2013-05-17,1,10.56,8.87,8.83,8.72,1.28,-0.41,15.36,-4.92,-5.40,-6.72
K,17-May-13,2013-05-17,2,10.6,8.79,8.93,8.79,1.32,-0.49,15.84,-5.88,-4.20,-5.88
K,17-May-13,2013-05-17,3,10.83,8.74,8.95,8.97,1.55,-0.54,18.60,-6.48,-3.96,-3.72
K,14-Jun-13,2013-06-14,1,18.48,9.28,10.71,9.53,9.57,0.37,108.10,4.18,20.33,7.00
K,14-Jun-13,2013-06-14,2,18.14,9.02,10.78,9.58,9.23,0.11,104.26,1.24,21.12,7.57
K,14-Jun-13,2013-06-14,3,18.73,9.3,10.25,9.44,9.82,0.39,110.92,4.41,15.14,5.99
K,28-Jun-13,2013-06-28,1,7.1,6.65,7.24,6.79,-0.64,-1.09,-7.84,-13.36,-6.13,-11.64
K,28-Jun-13,2013-06-28,2,7.1,6.63,7.23,6.77,-0.64,-1.11,-7.84,-13.61,-6.25,-11.89
K,28-Jun-13,2013-06-28,3,7.16,6.71,7.27,6.85,-0.58,-1.03,-7.11,-12.62,-5.76,-10.91
K,12-Jul-13,2013-07-12,1,9.08,7.52,7.45,7.46,1.71,0.15,21.42,1.88,1.00,1.13
K,12-Jul-13,2013-07-12,2,9.31,7.44,8.03,7.69,1.94,0.07,24.30,0.88,8.27,4.01
K,12-Jul-13,2013-07-12,3,9.12,7.46,7.97,7.63,1.75,0.09,21.92,1.13,7.51,3.26
K,26-Jul-13,2013-07-26,1,8.55,7.1,7.83,7.51,1.29,-0.16,14.86,-1.84,6.57,2.88
K,26-Jul-13,2013-07-26,2,8.25,7.3,7.78,7.54,0.99,0.04,11.41,0.46,5.99,3.23
K,26-Jul-13,2013-07-26,3,8.62,7.24,7.8,7.37,1.36,-0.02,15.67,-0.23,6.22,1.27
K,09-Aug-13,2013-08-09,1,9.77,7.52,8.74,7.92,1.51,-0.74,17.75,-8.70,5.64,-4.00
K,09-Aug-13,2013-08-09,2,9.21,7.7,8.71,8.03,0.95,-0.56,11.17,-6.58,5.29,-2.70
K,09-Aug-13,2013-08-09,3,10.11,7.96,8.71,8.2,1.85,-0.30,21.75,-3.53,5.29,-0.71
K,23-Aug-13,2013-08-23,1,7.21,6.43,6.95,6.84,0.06,-0.72,0.75,-9.02,-2.50,-3.88
K,23-Aug-13,2013-08-23,2,7.55,6.4,7.13,6.98,0.40,-0.75,5.01,-9.39,-0.25,-2.13
K,23-Aug-13,2013-08-23,3,7.02,6.42,7.04,7.02,-0.13,-0.73,-1.63,-9.14,-1.38,-1.63
K,23-May-14,2014-05-23,1,10.13,7.23,7.77,7.84,2.57,-0.33,29.61,-3.80,2.42,3.23
K,23-May-14,2014-05-23,2,11.63,7.88,7.65,7.2,4.07,0.32,46.89,3.69,1.04,-4.15
K,23-May-14,2014-05-23,3,10.95,7.35,7.62,7.25,3.39,-0.21,39.06,-2.42,0.69,-3.57
K,06-Jun-14,2014-06-06,1,10.92,7.28,7.22,5.56,2.86,-0.78,33.29,-9.08,-9.78,-29.10
K,06-Jun-14,2014-06-06,2,10.7,7.2,7.59,5.4,2.64,-0.86,30.72,-10.01,-5.47,-30.96
K,06-Jun-14,2014-06-06,3,10.94,6.78,7.7,5.3,2.88,-1.28,33.52,-14.90,-4.19,-32.12
K,20-Jun-14,2014-06-20,1,3.83,3.46,3.6,3.78,-3.59,-3.96,-42.94,-47.37,-45.69,-43.54
K,20-Jun-14,2014-06-20,2,4.36,3.24,3.46,3.65,-3.06,-4.18,-36.60,-50.00,-47.37,-45.10
K,20-Jun-14,2014-06-20,3,3.81,3.57,3.65,3.46,-3.61,-3.85,-43.18,-46.05,-45.10,-47.37
K,04-Jul-14,2014-07-04,1,6.15,5.75,5.92,5.62,0.05,-0.35,0.60,-4.20,-2.16,-5.76
K,04-Jul-14,2014-07-04,2,6.13,5.89,5.85,5.7,0.03,-0.21,0.36,-2.52,-3.00,-4.80
K,04-Jul-14,2014-07-04,3,6.17,5.6,5.65,5.55,0.07,-0.50,0.84,-6.00,-5.40,-6.60
K,17-Jul-14,2014-07-17,1,7.08,5.66,5.47,4.8,0.06,-1.36,0.69,-15.67,-17.86,-25.58
K,17-Jul-14,2014-07-17,2,7.72,5.45,5.43,4.72,0.70,-1.57,8.07,-18.09,-18.32,-26.50
K,17-Jul-14,2014-07-17,3,7.37,5.15,5.64,4.45,0.35,-1.87,4.03,-21.55,-15.90,-29.61
K,01-Aug-14,2014-08-01,1,5,4.45,5.37,5.45,-2.46,-3.01,-31.49,-38.53,-26.76,-25.73
K,01-Aug-14,2014-08-01,2,5.07,4.55,5.44,5.19,-2.39,-2.91,-30.60,-37.25,-25.86,-29.06
K,01-Aug-14,2014-08-01,3,4.8,4.61,5.51,5.15,-2.66,-2.85,-34.05,-36.49,-24.96,-29.57
K,15-Aug-14,2014-08-15,1,5.52,5.14,5.7,4.89,-2.07,-2.45,-25.11,-29.71,-22.92,-32.75
K,15-Aug-14,2014-08-15,2,5.98,5.25,5.91,4.7,-1.61,-2.34,-19.53,-28.38,-20.38,-35.05
K,15-Aug-14,2014-08-15,3,5.95,5.2,5.82,5.02,-1.64,-2.39,-19.89,-28.99,-21.47,-31.17
L,25-Jun-96,1996-06-25,1,4.9,4.4,4.7,4.5,0.20,-0.30,2.30,-3.46,0.00,-2.30
L,25-Jun-96,1996-06-25,2,4.9,4.5,4.6,4.6,0.20,-0.20,2.30,-2.30,-1.15,-1.15
L,25-Jun-96,1996-06-25,3,4.8,4.6,4.7,4.7,0.10,-0.10,1.15,-1.15,0.00,0.00
L,09-Jul-96,1996-07-09,1,6.6,6.2,6.4,6.3,0.20,-0.20,2.50,-2.50,0.00,-1.25
L,09-Jul-96,1996-07-09,2,6.7,6.1,6.4,6.2,0.30,-0.30,3.76,-3.76,0.00,-2.50
L,09-Jul-96,1996-07-09,3,6.7,6.2,6.4,6.3,0.30,-0.20,3.76,-2.50,0.00,-1.25
L,22-Jul-96,1996-07-22,1,5.5,5,5.3,5,0.30,-0.20,3.60,-2.40,1.20,-2.40
L,22-Jul-96,1996-07-22,2,5.7,4.9,5.4,5.1,0.50,-0.30,6.00,-3.60,2.40,-1.20
L,22-Jul-96,1996-07-22,3,5.6,4.8,5.4,5.1,0.40,-0.40,4.80,-4.80,2.40,-1.20
L,08-Aug-96,1996-08-08,1,4.9,4.7,4.8,4.8,0.10,-0.10,1.18,-1.18,0.00,0.00
L,08-Aug-96,1996-08-08,2,5,4.7,4.9,4.7,0.20,-0.10,2.35,-1.18,1.18,-1.18
L,08-Aug-96,1996-08-08,3,5,4.6,4.9,4.8,0.20,-0.20,2.35,-2.35,1.18,0.00
L,20-Aug-96,1996-08-20,1,4.7,4.3,4.6,4.5,0.20,-0.20,2.40,-2.40,1.20,0.00
L,20-Aug-96,1996-08-20,2,4.8,4.2,4.7,4.4,0.30,-0.30,3.60,-3.60,2.40,-1.20
L,20-Aug-96,1996-08-20,3,4.8,4.2,4.6,4.5,0.30,-0.30,3.60,-3.60,1.20,0.00
L,16-May-97,1997-05-16,1,12.4,9.7,7.5,7.4,1.40,-1.30,16.80,-15.60,-42.01,-43.21
L,16-May-97,1997-05-16,2,12.6,9.5,7.4,7.7,1.60,-1.50,19.20,-18.00,-43.21,-39.61
